孔板编号,样品信息
A1,1-DLN002
A2,2-DLN007
A3,3-DLN009
A4,4-DLN010
A5,5-DLN012_a
A6,6-DLN012_c
A7,7-DLN013_a
A8,8-DLN016_a
A9,9-DLN018_c
A10,10-DLN019_b
A11,11-DLN020_a
A12,12-DLN021
A13,13-DLN021_b
A14,14-DLN021_c
A15,15-DLN022_a
A16,16-DLN022_c
A17,17-DLN024_a
A18,18-DLN024_b
A19,19-DLN024_c
A20,20-DLN025_a
A21,21-DLN025_b
A22,22-DLN025_c
A23,NTC
A24,NPC
B1,23-DLN026_a
B2,24-DLN026_c
B3,25-DLN027_a
B4,26-DLN027_b
B5,27-DLN027_c
B6,28-DLN028_a
B7,29-DLN028_b
B8,30-DLN028_c
B9,31-DLN029_a
B10,32-DLN029_b_1
B11,33-DLN029_b_2
B12,34-DLN029_c
B13,35-DLN030_b
B14,36-DLN030_c
B15,37-DLN031
B16,38-DLN031_a
B17,39-DLN032
B18,40-DLN033
B19,41-DLN034
B20,42-DLN035_1
B21,43-DLN035_2
B22,44-DLN036_1
B23,NTC
B24,NPC
C1,45-DLN036_2
C2,46-DLN036_3
C3,47-DLN037_1
C4,48-DLN037_2
C5,49-DLN039_1
C6,50-DLN039_2
C7,51-DLN039_3
C8,52-DLN041
C9,53-DLN042_a
C10,54-DLN042_b
C11,55-DLN042_c
C12,56-DLN042
C13,57-DLN043_b
C14,58-DLN043_c
C15,59-DLN045_c
C16,60-DLN051
C17,61-DLN055_1
C18,62-DLN055_2
C19,63-DLN057
C20,64-DLN060_1
C21,65-DLN060_2
C22,66-DLN061
C23,NTC
C24,NPC
D1,67-DLN063
D2,68-DLN064
D3,69-DLN065_1
D4,70-DLN065_2
D5,71-DLN066_1
D6,72-DLN066_2
D7,73-DLN068
D8,74-DLN069
D9,75-DLN072
D10,76-DLN073
D11,77-DLN074_1
D12,78-DLN074_2
D13,79-DLN075_1
D14,80-DLN075_2
D15,81-DLN076
D16,82-DLN077_1
D17,83-DLN077_2
D18,84-DLN078
D19,85-DLN079
D20,86-DLN080
D21,87-DLN082
D22,88-DLN083
D23,NTC
D24,NPC
E1,89-DLN084_1
E2,90-DLN084_2
E3,91-DLN085
E4,92-DLN086_1
E5,93-DLN086_2
E6,94-DLN087
E7,95-DLN088_1
E8,96-DLN088_2
E9,97-DLN089_1
E10,98-DLN089_2
E11,99-DLN090_1
E12,100-DLN090_2
E13,101-DLN092
E14,102-DLN093
E15,103-DLN094
E16,104-DLN095
E17,105-DLN096
E18,106-DLN097_1
E19,107-DLN097_2
E20,108-DLN098
E21,109-DLN099
E22,110-DLN100
E23,NTC
E24,NPC
F1,111-DLN101_1
F2,112-DLN101_2
F3,113-DLN102_1
F4,114-DLN102_2
F5,115-DLN102_c
F6,116-DLN103
F7,117-DLN104
F8,118-DLN106
F9,119-DLN107_1
F10,120-DLN107_2
F11,121-DLN109
F12,122-DLN110
F13,123-DLN111_c
F14,124-DLN112_a
F15,125-DLN112_b
F16,126-DLN113_a
F17,127-DLN113_b
F18,128-DLN114_b
F19,129-DLN115_a
F20,130-DLN115_b
F21,131-DLN116_a
F22,132-DLN116_b
F23,NTC
F24,NPC
G1,133-DLN116_c_1
G2,134-DLN116_c_2
G3,135-DLN116
G4,136-DLN117
G5,137-DLN117_b
G6,138-DLN118
G7,139-DLN120_a
G8,140-DLN120
G9,141-DLN121
G10,142-DLN122
G11,143-DLN123
G12,144-DLN126_1
G13,145-DLN126_2
G14,146-DLN127
G15,147-DLN128_1
G16,148-DLN128_2
G17,149-DLN129_1
G18,150-DLN129_2
G19,151-DLN130
G20,152-DLN131_1
G21,153-DLN131_2
G22,154-DLN133_1
G23,NTC
G24,NPC
H1,155-DLN133_2
H2,156-DLN134
H3,157-DLN135
H4,158-DLN139_1
H5,159-DLN139_2
H6,160-DLN140
H7,161-DLN142_1
H8,162-DLN143_1
H9,163-DLN143_2
H10,164-DLN144
H11,165-DLN145
H12,166-DLN146_1
H13,167-DLN146_2
H14,168-DLN147
H15,169-DLN148
H16,170-DLN149_1
H17,171-DLN149_2
H18,172-DLN151
H19,173-DLN152
H20,174-DLN153
H21,175-DLN154
H22,176-DLN156
H23,NTC
H24,NPC
I1,177-DLN157
I2,178-DLN158_1
I3,179-DLN158_2
I4,180-DLN159
I5,181-DLN161_1
I6,182-DLN161_2
I7,183-DLN164
I8,184-DLN165
I9,185-DLN167
I10,186-DLN168
I11,187-DLN169_1
I12,188-DLN169_2
I13,189-DLN170_1
I14,190-DLN170_2
I15,191-DLN171
I16,192-DLN173
I17,193-DLN174
I18,194-DLN175
I19,195-DLN178_1
I20,196-DLN178_2
I21,197-DLN179_1
I22,198-DLN179_2
I23,NTC
I24,NPC
J1,199-DLN180
J2,200-DLN181
J3,201-DLN182
J4,202-DLN184
J5,203-DLN187
J6,204-DLN188
J7,205-DLN189
J8,206-DLN190_1
J9,207-DLN190_2
J10,208-DLN191_1
J11,209-DLN191_2
J12,210-DLN192_1
J13,211-DLN192_2
J14,212-DLN193_1
J15,213-DLN193_2
J16,214-DLN195
J17,215-DLN197_1
J18,216-DLN197_2
J19,217-DLN198_1
J20,218-DLN198_2
J21,219-DLN201
J22,220-DLN202
J23,NTC
J24,NPC
K1,221-DLN203_1
K2,222-DLN203_2
K3,223-DLN204
K4,224-DLN205
K5,225-DLN207
K6,226-DLN208
K7,227-DLN209_1
K8,228-DLN209_2
K9,229-DLN210_1
K10,230-DLN210_2
K11,231-DLN211_1
K12,232-DLN211_2
K13,233-DLN212
K14,234-DLN213
K15,235-DLN214
K16,236-DLN215
K17,237-DLN217_1
K18,238-DLN217_2
K19,239-DLN218
K23,NTC
K24,NPC
